location,bhk,built_up_area,transaction,status,furnishing,facing,bathroom,floor_category,luxury_category,price
athwalines,2,935,Resale,Ready to Move,Semi-Furnished,East,1,Mid Floor,Medium,0.57
palanpur,2,1392,Resale,Ready to Move,Unfurnished,East,1,High Floor,Medium,0.4
udhna,2,825,Resale,Ready to Move,Semi-Furnished,North - East,1,Low Floor,Low,0.24
katargam,1,550,Resale,Ready to Move,Unfurnished,East,1,Mid Floor,Low,0.2
adajan,2,847,Resale,Ready to Move,Furnished,East,1,Low Floor,Medium,0.5
adajan,2,1100,Resale,Ready to Move,Furnished,East,1,Mid Floor,Medium,0.36
nanpura/gopipura/chauta/sagrampura,2,820,Resale,Ready to Move,Furnished,North - West,1,Mid Floor,Medium,0.19
kamrej,1,825,Resale,Ready to Move,Semi-Furnished,North - West,1,Low Floor,Low,0.25
althan,4,1370,Resale,Ready to Move,Unfurnished,North - West,3,Mid Floor,Medium,0.44
adajan,2,1200,Resale,Ready to Move,Unfurnished,East,1,Mid Floor,Medium,0.35
sarthana/varachha,2,1267,Resale,Ready to Move,Furnished,North - West,1,Low Floor,Medium,0.5
jahangirpura,3,1600,Resale,Ready to Move,Unfurnished,North - West,2,Mid Floor,Medium,0.3
palanpur,1,485,Resale,Ready to Move,Unfurnished,South,1,Mid Floor,Low,0.23
dumas road/hazira,2,1040,Resale,Ready to Move,Semi-Furnished,North - West,1,Mid Floor,Medium,0.58
palanpur,3,1460,Resale,Ready to Move,Furnished,North - West,2,Mid Floor,Medium,0.42
sarthana/varachha,3,1265,Resale,Ready to Move,Furnished,East,2,Mid Floor,Medium,0.49
palanpur,2,850,Resale,Ready to Move,Unfurnished,North - West,1,Mid Floor,Low,0.25
udhna,2,729,Resale,Ready to Move,Semi-Furnished,North - West,1,Low Floor,Low,0.17
althan,2,1300,Resale,Ready to Move,Semi-Furnished,North - West,1,Mid Floor,Medium,0.52
palanpur,2,1041,Resale,Ready to Move,Unfurnished,North - West,1,Low Floor,Low,0.38
palanpur,4,1430,Resale,Ready to Move,Furnished,North - West,3,Low Floor,Medium,0.45
vesu,2,787,Resale,Ready to Move,Furnished,North - West,1,Mid Floor,Medium,0.43
dindoli,2,1155,Resale,Ready to Move,Furnished,East,1,Low Floor,Medium,0.36
palanpur,2,1264,Resale,Ready to Move,Unfurnished,East,1,High Floor,Medium,0.55
althan,2,1258,Resale,Ready to Move,Semi-Furnished,West,1,Mid Floor,Medium,0.52
punagam,2,1155,Resale,Ready to Move,Unfurnished,West,1,Mid Floor,Medium,0.4
palanpur,2,1150,Resale,Ready to Move,Semi-Furnished,North - West,1,Mid Floor,Medium,0.32
adajan,1,688,Resale,Ready to Move,Semi-Furnished,North - West,1,Low Floor,Low,0.27
palanpur,2,1100,Resale,Ready to Move,Furnished,North - West,1,Mid Floor,Medium,0.4
sarthana/varachha,2,1193,Resale,Ready to Move,Semi-Furnished,East,1,Mid Floor,Medium,0.41
palanpur,2,1035,Resale,Ready to Move,Furnished,North - West,1,Low Floor,Medium,0.44
dumas road/hazira,1,785,Resale,Ready to Move,Semi-Furnished,North - West,1,Low Floor,Low,0.32
udhna,1,550,Resale,Ready to Move,Semi-Furnished,North - East,1,Mid Floor,Low,0.13
amroli,2,632,Resale,Ready to Move,Semi-Furnished,North - West,1,Low Floor,Low,0.27
palanpur,2,1353,Resale,Ready to Move,Semi-Furnished,East,1,Mid Floor,Medium,0.3
kamrej,2,861,Resale,Ready to Move,Unfurnished,North - East,1,Mid Floor,Low,0.5
pal,1,750,Resale,Ready to Move,Unfurnished,East,1,Mid Floor,Low,0.28
palanpur,2,1100,Resale,Ready to Move,Unfurnished,East,1,Mid Floor,Medium,0.38
kamrej,2,1156,Resale,Ready to Move,Unfurnished,North - West,1,Mid Floor,Medium,0.5
katargam,1,495,Resale,Ready to Move,Unfurnished,North - West,1,Mid Floor,Low,0.18
palanpur,2,1045,Resale,Ready to Move,Semi-Furnished,North - East,1,Low Floor,Low,0.35
udhna,3,1667,Resale,Ready to Move,Semi-Furnished,North - West,2,Low Floor,Medium,0.45
palanpur,2,825,Resale,Ready to Move,Semi-Furnished,East,1,Mid Floor,Medium,0.35
palanpur,2,1250,Resale,Ready to Move,Furnished,East,1,Mid Floor,Medium,0.58
katargam,1,666,Resale,Ready to Move,Unfurnished,East,1,Low Floor,Low,0.16
palanpur,2,1320,Resale,Under Construction,Unfurnished,North - West,1,High Floor,Medium,0.55
sarthana/varachha,2,1300,Resale,Ready to Move,Furnished,North - West,1,Mid Floor,Medium,0.45
palanpur,2,1025,Resale,Ready to Move,Furnished,North - West,1,Mid Floor,Medium,0.48
pal,2,1280,Resale,Ready to Move,Semi-Furnished,East,1,Mid Floor,Medium,0.51
palanpur,2,990,Resale,Ready to Move,Semi-Furnished,North - West,1,Mid Floor,Medium,0.45
palanpur,1,756,Resale,Ready to Move,Unfurnished,North - West,1,Mid Floor,Low,0.15
palanpur,1,750,Resale,Ready to Move,Semi-Furnished,North - West,1,Mid Floor,Low,0.06
dindoli,2,1120,Resale,Ready to Move,Furnished,East,1,Mid Floor,Medium,0.36
sachin,2,1075,Resale,Ready to Move,Semi-Furnished,East,1,Mid Floor,Medium,0.27
nanpura/gopipura/chauta/sagrampura,2,825,New Property,Ready to Move,Semi-Furnished,East,1,Low Floor,Low,0.28
athwalines,2,825,Resale,Ready to Move,Unfurnished,North - West,1,Mid Floor,Low,0.37
althan,1,800,Resale,Ready to Move,Furnished,North - West,1,Low Floor,Low,0.3
palanpur,2,1256,Resale,Ready to Move,Furnished,East,1,High Floor,Medium,0.4
vesu,1,550,Resale,Ready to Move,Unfurnished,North - West,1,Mid Floor,Low,0.16
amroli,2,638,Resale,Ready to Move,Furnished,East,1,Low Floor,Medium,0.19
dindoli,2,781,Resale,Ready to Move,Unfurnished,North - West,1,Mid Floor,Low,0.3
amroli,1,775,Resale,Ready to Move,Semi-Furnished,North - West,1,Low Floor,Low,0.17
jahangirpura,2,793,Resale,Ready to Move,Semi-Furnished,East,1,Mid Floor,Medium,0.32
nanpura/gopipura/chauta/sagrampura,3,1050,Resale,Ready to Move,Unfurnished,North - West,2,Mid Floor,Medium,0.3
jahangirpura,2,770,Resale,Ready to Move,Semi-Furnished,East,1,Mid Floor,Medium,0.35
althan,2,1252,Resale,Ready to Move,Unfurnished,North - West,1,High Floor,Medium,0.5
adajan,2,1170,New Property,Ready to Move,Unfurnished,South -West,1,Mid Floor,Medium,0.38
dindoli,2,1250,Resale,Ready to Move,Unfurnished,North - West,1,Low Floor,Low,0.32
athwalines,2,1540,Resale,Ready to Move,Unfurnished,North - West,1,Mid Floor,Medium,0.55
palanpur,2,800,Resale,Ready to Move,Semi-Furnished,North - West,1,Low Floor,Low,0.23
palanpur,3,1320,Resale,Ready to Move,Semi-Furnished,North - West,2,Low Floor,Medium,0.5
udhna,3,1550,Resale,Ready to Move,Furnished,North - West,2,Mid Floor,Medium,0.55
punagam,2,802,Resale,Ready to Move,Semi-Furnished,North - West,1,Low Floor,Low,0.25
athwalines,2,1235,Resale,Ready to Move,Semi-Furnished,North - West,1,Low Floor,Medium,0.48
althan,2,1000,Resale,Ready to Move,Semi-Furnished,North - West,1,Low Floor,Low,0.45
dindoli,3,1705,Resale,Ready to Move,Semi-Furnished,West,2,High Floor,Medium,0.55
palanpur,2,1225,Resale,Ready to Move,Unfurnished,North - West,1,Low Floor,Low,0.3
katargam,2,1018,Resale,Ready to Move,Semi-Furnished,South - East,1,Mid Floor,Medium,0.22
udhna,2,1020,Resale,Ready to Move,Unfurnished,North - West,1,Mid Floor,Low,0.4
athwalines,1,600,Resale,Ready to Move,Furnished,North - West,1,Mid Floor,Low,0.27
palanpur,1,770,Resale,Ready to Move,Unfurnished,North - West,1,Mid Floor,Low,0.54
jahangirpura,2,1180,Resale,Ready to Move,Unfurnished,North - West,1,Mid Floor,Medium,0.32
palanpur,2,1150,Resale,Ready to Move,Furnished,North - West,1,Low Floor,Medium,0.55
pal,2,1155,Resale,Ready to Move,Unfurnished,North - West,1,Low Floor,Low,0.6
adajan,2,960,Resale,Ready to Move,Semi-Furnished,North - West,1,Mid Floor,Medium,0.4
palanpur,2,862,Resale,Ready to Move,Semi-Furnished,North - West,1,Mid Floor,Medium,0.28
katargam,2,570,Resale,Ready to Move,Unfurnished,East,1,Mid Floor,Low,0.25
amroli,3,1260,Resale,Ready to Move,Furnished,North - West,2,Mid Floor,Medium,0.33
palanpur,2,1100,Resale,Ready to Move,Furnished,North - West,1,Mid Floor,Medium,0.38
bardoli,1,646,Resale,Ready to Move,Unfurnished,North - West,1,Low Floor,Low,0.12
udhna,1,550,Resale,Ready to Move,Semi-Furnished,North - West,1,Low Floor,Low,0.17
palanpur,2,1000,Resale,Ready to Move,Furnished,North - West,1,Low Floor,Medium,0.4
palanpur,2,1025,Resale,Ready to Move,Semi-Furnished,North - West,1,Low Floor,Low,0.26
athwalines,2,1018,Resale,Ready to Move,Unfurnished,North - West,1,Mid Floor,Low,0.41
vesu,2,1250,Resale,Ready to Move,Semi-Furnished,North - West,1,Mid Floor,Medium,0.53
palanpur,1,475,Resale,Ready to Move,Semi-Furnished,North - West,1,Low Floor,Low,0.12
udhna,1,704,Resale,Ready to Move,Semi-Furnished,North - West,1,Low Floor,Low,0.17
kamrej,2,947,Resale,Ready to Move,Semi-Furnished,North - West,1,Mid Floor,Medium,0.21
amroli,1,550,Resale,Ready to Move,Unfurnished,North,1,Mid Floor,Low,0.1
palanpur,2,660,Resale,Ready to Move,Semi-Furnished,South - East,1,Mid Floor,Medium,0.42
athwalines,3,1430,Resale,Ready to Move,Furnished,North - West,2,Mid Floor,Medium,0.54
sarthana/varachha,2,1251,Resale,Ready to Move,Unfurnished,North - West,1,Mid Floor,Medium,0.43
palanpur,1,825,Resale,Ready to Move,Unfurnished,North - West,1,Low Floor,Low,0.2
jahangirpura,2,1007,Resale,Ready to Move,Furnished,North - West,1,Low Floor,Medium,0.49
adajan,2,970,Resale,Ready to Move,Semi-Furnished,North - West,1,Mid Floor,Medium,0.3
palanpur,1,451,Resale,Ready to Move,Furnished,North - West,1,Mid Floor,Low,0.2
amroli,2,1065,Resale,Ready to Move,Unfurnished,North - West,1,Low Floor,Low,0.25
palanpur,2,1200,Resale,Ready to Move,Unfurnished,North,1,Mid Floor,Medium,0.45
dindoli,2,715,New Property,Ready to Move,Unfurnished,North - West,1,Mid Floor,Low,0.36
palanpur,1,750,Resale,Ready to Move,Semi-Furnished,North - West,1,Low Floor,Low,0.22
palanpur,2,950,Resale,Ready to Move,Semi-Furnished,North - West,1,Low Floor,Low,0.28
palanpur,2,1120,Resale,Ready to Move,Furnished,North - West,1,Mid Floor,Medium,0.45
palanpur,1,3,Resale,Ready to Move,Unfurnished,East,1,Low Floor,Low,0.12
palanpur,2,648,Resale,Ready to Move,Unfurnished,North - West,1,Low Floor,Low,0.2
sachin,2,900,Resale,Ready to Move,Semi-Furnished,North - West,1,Mid Floor,Medium,0.13
palanpur,2,850,Resale,Ready to Move,Semi-Furnished,North - West,1,Mid Floor,Medium,0.22
udhna,1,850,Resale,Ready to Move,Unfurnished,North - West,1,Low Floor,Low,0.09
dindoli,2,715,Resale,Ready to Move,Semi-Furnished,North - West,1,Low Floor,Low,0.25
palanpur,2,1591,Resale,Ready to Move,Semi-Furnished,North - East,1,Mid Floor,Medium,0.4
vesu,2,990,Resale,Ready to Move,Unfurnished,East,1,Mid Floor,Low,0.55
adajan,3,1450,Resale,Ready to Move,Furnished,North - West,2,Mid Floor,Medium,0.6
athwalines,2,1595,Resale,Ready to Move,Furnished,North - East,1,Mid Floor,Medium,0.65
dindoli,1,801,Resale,Ready to Move,Unfurnished,North - West,1,Mid Floor,Low,0.16
adajan,1,722,Resale,Ready to Move,Unfurnished,North - West,1,Mid Floor,Low,0.21
palanpur,2,861,Resale,Ready to Move,Unfurnished,East,1,Mid Floor,Low,0.1
palanpur,2,807,Resale,Ready to Move,Furnished,East,1,Low Floor,Medium,0.28
athwalines,2,825,Resale,Ready to Move,Unfurnished,East,1,Mid Floor,Low,0.35
udhna,2,1320,Resale,Ready to Move,Unfurnished,North - West,1,Mid Floor,Medium,0.3
palanpur,4,1815,Resale,Ready to Move,Semi-Furnished,East,3,Mid Floor,Medium,0.38
adajan,2,750,Resale,Ready to Move,Semi-Furnished,North - West,1,Low Floor,Low,0.24
jahangirpura,2,1100,Resale,Ready to Move,Semi-Furnished,North - West,1,Low Floor,Medium,0.39
palanpur,1,484,Resale,Ready to Move,Semi-Furnished,North - West,1,Mid Floor,Low,0.25
palanpur,3,1221,Resale,Ready to Move,Unfurnished,East,2,Mid Floor,Medium,0.55
adajan,2,1021,Resale,Ready to Move,Unfurnished,North - West,1,Mid Floor,Low,0.4
palanpur,2,1092,New Property,Under Construction,Unfurnished,North - West,1,High Floor,Medium,0.35
adajan,2,880,Resale,Ready to Move,Semi-Furnished,East,1,Low Floor,Low,0.25
dindoli,2,1078,Resale,Ready to Move,Unfurnished,North - West,1,Low Floor,Low,0.28
palanpur,2,1040,Resale,Ready to Move,Unfurnished,South,1,Mid Floor,Low,0.34
vesu,1,605,Resale,Ready to Move,Furnished,North - West,1,Mid Floor,Low,0.25
jahangirpura,1,485,Resale,Ready to Move,Unfurnished,North - West,1,Low Floor,Low,0.2
katargam,1,413,Resale,Ready to Move,Unfurnished,North - West,1,Low Floor,Low,0.17
athwalines,2,1200,Resale,Ready to Move,Unfurnished,East,1,Low Floor,Low,0.47
kadodara,1,490,Resale,Ready to Move,Unfurnished,North - West,1,Mid Floor,Low,0.09
athwalines,2,1100,Resale,Ready to Move,Unfurnished,North - West,1,Mid Floor,Medium,0.6
pal,1,528,Resale,Ready to Move,Semi-Furnished,North,1,Mid Floor,Low,0.25
udhna,3,1680,Resale,Ready to Move,Furnished,North - West,2,Mid Floor,Medium,0.55
sachin,2,732,Resale,Ready to Move,Unfurnished,North - West,1,Mid Floor,Low,0.13
palanpur,1,550,Resale,Ready to Move,Semi-Furnished,North - West,1,Mid Floor,Low,0.21
althan,2,781,Resale,Ready to Move,Furnished,East,1,High Floor,Medium,0.63
punagam,2,1265,Resale,Ready to Move,Unfurnished,North - West,1,Mid Floor,Medium,0.29
palanpur,2,748,Resale,Ready to Move,Semi-Furnished,North,1,Mid Floor,Medium,0.23
sarthana/varachha,2,1126,Resale,Ready to Move,Semi-Furnished,East,1,Mid Floor,Medium,0.24
dumas road/hazira,2,1400,Resale,Under Construction,Unfurnished,East,1,Low Floor,Low,0.63
dindoli,3,1210,Resale,Ready to Move,Unfurnished,West,2,Low Floor,Medium,0.38
althan,2,1000,Resale,Ready to Move,Semi-Furnished,North - West,1,Mid Floor,Medium,0.35
adajan,2,1035,Resale,Ready to Move,Semi-Furnished,North - West,1,Mid Floor,Medium,0.29
palanpur,2,1218,Resale,Ready to Move,Semi-Furnished,East,1,Mid Floor,Medium,0.36
palanpur,2,550,New Property,Ready to Move,Unfurnished,North,1,Mid Floor,Low,0.18
palanpur,2,910,Resale,Ready to Move,Unfurnished,North - West,1,Mid Floor,Low,0.23
jahangirpura,3,1045,Resale,Ready to Move,Furnished,East,2,Mid Floor,Medium,0.3
katargam,2,960,Resale,Ready to Move,Furnished,North - West,1,Mid Floor,Medium,0.33
palanpur,1,570,Resale,Ready to Move,Semi-Furnished,North - West,1,Mid Floor,Low,0.2
katargam,1,500,Resale,Ready to Move,Unfurnished,North - West,1,Low Floor,Low,0.17
athwalines,1,676,Resale,Ready to Move,Furnished,North - West,1,Mid Floor,Low,0.2
udhna,2,900,Resale,Ready to Move,Semi-Furnished,North - West,1,Mid Floor,Medium,0.23
althan,2,1326,Resale,Ready to Move,Furnished,North - West,1,High Floor,Medium,0.65
palanpur,2,825,New Property,Ready to Move,Unfurnished,North - West,1,Mid Floor,Low,0.47
palanpur,2,1000,Resale,Ready to Move,Furnished,North - West,1,Mid Floor,Medium,0.4
adajan,3,1265,Resale,Ready to Move,Unfurnished,North - West,2,Low Floor,Medium,0.5
udhna,3,1200,Resale,Ready to Move,Semi-Furnished,North - West,2,Mid Floor,Medium,0.35
dumas road/hazira,2,960,Resale,Ready to Move,Semi-Furnished,North - West,1,Mid Floor,Medium,0.23
adajan,2,950,Resale,Ready to Move,Semi-Furnished,East,1,Mid Floor,Medium,0.3
adajan,3,1141,Resale,Ready to Move,Unfurnished,East,2,Low Floor,Medium,0.39
athwalines,2,1275,Resale,Ready to Move,Furnished,North - West,1,Mid Floor,Medium,0.58
adajan,1,650,Resale,Ready to Move,Unfurnished,North - West,1,Low Floor,Low,0.21
athwalines,1,700,Resale,Ready to Move,Unfurnished,North - West,1,Mid Floor,Low,0.25
nanpura/gopipura/chauta/sagrampura,3,1200,Resale,Ready to Move,Unfurnished,North - West,2,Mid Floor,Medium,0.6
punagam,1,440,Resale,Ready to Move,Semi-Furnished,North - West,1,Low Floor,Low,0.11
dindoli,3,1700,Resale,Ready to Move,Semi-Furnished,East,2,Low Floor,Medium,0.56
palanpur,2,880,Resale,Ready to Move,Furnished,North - West,1,Mid Floor,Medium,0.42
palanpur,2,770,Resale,Ready to Move,Unfurnished,East,1,Mid Floor,Low,0.35
palanpur,2,1083,Resale,Ready to Move,Furnished,North - West,1,Mid Floor,Medium,0.38
dindoli,2,987,Resale,Ready to Move,Furnished,North - West,1,Low Floor,Medium,0.23
kadodara,1,748,Resale,Ready to Move,Unfurnished,East,1,Low Floor,Low,0.18
palanpur,2,1200,Resale,Ready to Move,Semi-Furnished,North - West,1,Low Floor,Medium,0.3
dumas road/hazira,3,1420,Resale,Ready to Move,Semi-Furnished,North,2,Low Floor,Medium,0.45
althan,1,342,Resale,Ready to Move,Unfurnished,North - West,1,Mid Floor,Low,0.14
sachin,1,332,Resale,Ready to Move,Unfurnished,North - West,1,Mid Floor,Low,0.13
palanpur,2,880,Resale,Ready to Move,Furnished,North - West,1,Mid Floor,Medium,0.32
palanpur,2,800,Resale,Ready to Move,Semi-Furnished,North - West,1,Low Floor,Low,0.1
adajan,2,1200,Resale,Ready to Move,Furnished,North - West,1,Mid Floor,Medium,0.4
palanpur,1,600,Resale,Ready to Move,Semi-Furnished,North - West,1,Low Floor,Low,0.3
punagam,3,990,Resale,Ready to Move,Unfurnished,East,2,Low Floor,Medium,0.58
palanpur,2,1100,Resale,Ready to Move,Furnished,North - West,1,Low Floor,Medium,0.37
amroli,1,605,Resale,Ready to Move,Unfurnished,East,1,Mid Floor,Low,0.2
sarthana/varachha,2,1312,Resale,Ready to Move,Unfurnished,North,1,Low Floor,Low,0.5
palanpur,2,1176,Resale,Ready to Move,Unfurnished,North - West,1,Mid Floor,Medium,0.42
palanpur,2,1175,Resale,Ready to Move,Semi-Furnished,North - West,1,Mid Floor,Medium,0.35
jahangirpura,2,1252,Resale,Ready to Move,Semi-Furnished,North - West,1,Mid Floor,Medium,0.4
jahangirpura,2,1250,Resale,Ready to Move,Unfurnished,North - West,1,Mid Floor,Medium,0.42
katargam,1,400,Resale,Ready to Move,Unfurnished,North - West,1,Low Floor,Low,0.11
palanpur,2,1065,Resale,Ready to Move,Semi-Furnished,North,1,Mid Floor,Medium,0.25
palanpur,2,1028,Resale,Ready to Move,Semi-Furnished,North - West,1,Low Floor,Low,0.28
jahangirpura,2,1288,Resale,Ready to Move,Furnished,North - West,1,Mid Floor,Medium,0.4
nanpura/gopipura/chauta/sagrampura,1,600,Resale,Ready to Move,Furnished,North - West,1,Mid Floor,Low,0.14
palanpur,2,1371,Resale,Ready to Move,Semi-Furnished,North - West,1,Mid Floor,Medium,0.5
palanpur,2,770,Resale,Ready to Move,Semi-Furnished,East,1,High Floor,Medium,0.56
nanpura/gopipura/chauta/sagrampura,1,99,Resale,Ready to Move,Unfurnished,East,1,Low Floor,Low,0.15
althan,2,591,Resale,Ready to Move,Semi-Furnished,North - West,1,Mid Floor,Low,0.2
palanpur,2,1078,Resale,Ready to Move,Furnished,East,1,Low Floor,Medium,0.42
nanpura/gopipura/chauta/sagrampura,1,650,Resale,Ready to Move,Furnished,North - West,1,Low Floor,Low,0.18
adajan,2,578,Resale,Ready to Move,Furnished,North - West,1,Mid Floor,Medium,0.3
palanpur,1,605,Resale,Ready to Move,Semi-Furnished,North - West,1,Mid Floor,Low,0.25
palanpur,1,632,Resale,Ready to Move,Semi-Furnished,East,1,Mid Floor,Low,0.2
palanpur,2,1000,Resale,Ready to Move,Unfurnished,North - West,1,Mid Floor,Low,0.18
palanpur,1,715,Resale,Ready to Move,Unfurnished,North,1,Low Floor,Low,0.18
nanpura/gopipura/chauta/sagrampura,2,1250,Resale,Ready to Move,Unfurnished,North - West,1,Mid Floor,Medium,0.31
dumas road/hazira,1,638,Resale,Ready to Move,Unfurnished,South -West,1,Mid Floor,Low,0.27
adajan,2,990,Resale,Ready to Move,Semi-Furnished,North - West,1,Low Floor,Low,0.35
jahangirpura,2,1155,Resale,Ready to Move,Semi-Furnished,North - West,1,Mid Floor,Medium,0.45
pal,3,1575,Resale,Ready to Move,Unfurnished,North - East,2,Mid Floor,Medium,0.55
bardoli,2,1300,Resale,Ready to Move,Unfurnished,North - West,1,Mid Floor,Medium,0.21
kadodara,2,600,Resale,Ready to Move,Unfurnished,North - West,1,Mid Floor,Low,0.23
sarthana/varachha,2,1251,Resale,Ready to Move,Semi-Furnished,North - West,1,Mid Floor,Medium,0.55
sachin,1,550,Resale,Ready to Move,Unfurnished,North - West,1,Mid Floor,Low,0.09
