location,bhk,areaType,square_feet,transaction,status,floorNum,totalFloor,furnishing,facing,price_per_sqft,price,built_up_area
sarthana/varachha,2,Super Area,1251,Resale,Ready to Move,8.0,13.0,Unfurnished,,3437.0,0.43,1251
,1,Carpet Area,750,Resale,Ready to Move,2.0,4.0,Unfurnished,,,0.2,825
jahangirpura,2,Carpet Area,915,Resale,Ready to Move,2.0,5.0,Furnished,,5355.0,0.49,1007
adajan,2,Super Area,970,Resale,Ready to Move,3.0,4.0,Semi-Furnished,,3093.0,0.3,970
,1,Carpet Area,410,Resale,Ready to Move,3.0,4.0,Furnished,,2857.0,0.2,451
amroli,2,Super Area,1065,Resale,Ready to Move,2.0,6.0,Unfurnished,,2347.0,0.25,1065
palanpur,2,Super Area,1200,Resale,Ready to Move,4.0,8.0,Unfurnished,North,3750.0,0.45,1200
dindoli,2,Carpet Area,650,New Property,Ready to Move,8.0,14.0,Unfurnished,,3051.0,0.36,715
,1,Super Area,750,Resale,Ready to Move,0.0,3.0,Semi-Furnished,,2933.0,0.22,750
,2,Super Area,1250,Resale,Ready to Move,,,,,3200.0,0.4,1250
palanpur,2,Super Area,950,Resale,Ready to Move,1.0,5.0,Semi-Furnished,,2947.0,0.28,950
palanpur,2,Super Area,1120,Resale,Ready to Move,5.0,13.0,Furnished,,4018.0,0.45,1120
,1,Carpet Area,3,Resale,Ready to Move,2.0,7.0,Unfurnished,East,3429.0,0.12,3
,2,Super Area,648,Resale,Ready to Move,0.0,1.0,Unfurnished,,3086.0,0.2,648
sachin,2,Super Area,900,Resale,Ready to Move,3.0,5.0,Semi-Furnished,,1444.0,0.13,900
,2,Super Area,850,Resale,Ready to Move,4.0,5.0,Semi-Furnished,,2588.0,0.22,850
udhna,1,Super Area,850,Resale,Ready to Move,1.0,4.0,Unfurnished,,1000.0,0.09,850
dindoli,2,Carpet Area,650,Resale,Ready to Move,1.0,5.0,Semi-Furnished,,,0.25,715
,2,Carpet Area,1446,Resale,Ready to Move,4.0,4.0,Semi-Furnished,North - East,4006.0,0.4,1591
vesu,2,Carpet Area,900,Resale,Ready to Move,5.0,13.0,Unfurnished,East,4331.0,0.55,990
adajan,3,Super Area,1450,Resale,Ready to Move,8.0,9.0,Furnished,,4138.0,0.6,1450
athwalines,2,Carpet Area,1450,Resale,Ready to Move,6.0,11.0,Furnished,North - East,5000.0,0.65,1595
dindoli,1,Super Area,801,Resale,Ready to Move,9.0,11.0,Unfurnished,,1998.0,0.16,801
adajan,1,Super Area,722,Resale,Ready to Move,7.0,7.0,Unfurnished,,2909.0,0.21,722
,2,Super Area,861,Resale,Ready to Move,4.0,4.0,Unfurnished,East,1220.0,0.1,861
,2,Carpet Area,734,Resale,Ready to Move,2.0,5.0,Furnished,East,2749.0,0.28,807
athwalines,2,Carpet Area,750,Resale,Ready to Move,7.0,10.0,Unfurnished,East,3889.0,0.35,825
udhna,2,Carpet Area,1200,Resale,Ready to Move,8.0,9.0,Unfurnished,,,0.3,1320
,4,Carpet Area,1650,Resale,Ready to Move,8.0,9.0,Semi-Furnished,East,3102.0,0.38,1815
adajan,2,Super Area,750,Resale,Ready to Move,2.0,7.0,Semi-Furnished,,3200.0,0.24,750
jahangirpura,2,Super Area,1100,Resale,Ready to Move,2.0,5.0,Semi-Furnished,,3545.0,0.39,1100
,1,Carpet Area,440,Resale,Ready to Move,4.0,5.0,Semi-Furnished,,3420.0,0.25,484
,3,Carpet Area,1110,Resale,Ready to Move,7.0,8.0,Unfurnished,East,,0.55,1221
adajan,2,Super Area,1021,Resale,Ready to Move,7.0,8.0,Unfurnished,,3918.0,0.4,1021
palanpur,2,Super Area,1092,New Property,Under Construction,14.0,14.0,Unfurnished,,3200.0,0.35,1092
adajan,2,Carpet Area,800,Resale,Ready to Move,1.0,4.0,Semi-Furnished,East,2500.0,0.25,880
dindoli,2,Carpet Area,980,Resale,Ready to Move,2.0,7.0,Unfurnished,,,0.28,1078
,2,Carpet Area,945,Resale,Ready to Move,4.0,4.0,Unfurnished,South,2787.0,0.34,1040
adajan,2,Super Area,1100,Resale,Ready to Move,,,,,4091.0,0.45,1100
vesu,1,Carpet Area,550,Resale,Ready to Move,7.0,14.0,Furnished,,,0.25,605
jahangirpura,1,Super Area,485,Resale,Ready to Move,2.0,5.0,Unfurnished,,4124.0,0.2,485
katargam,1,Super Area,413,Resale,Ready to Move,2.0,5.0,Unfurnished,,4116.0,0.17,413
athwalines,2,Super Area,1200,Resale,Ready to Move,2.0,7.0,Unfurnished,East,3917.0,0.47,1200
kadodara,1,Super Area,490,Resale,Ready to Move,4.0,4.0,Unfurnished,,1735.0,0.09,490
athwalines,2,Super Area,1100,Resale,Undefined,10.0,11.0,Unfurnished,,5455.0,0.6,1100
pal,1,Carpet Area,480,Resale,Ready to Move,8.0,8.0,Semi-Furnished,North,2853.0,0.25,528
udhna,3,Super Area,1680,Resale,Ready to Move,8.0,8.0,Furnished,,3274.0,0.55,1680
sachin,2,Super Area,732,Resale,Ready to Move,4.0,5.0,Unfurnished,,1776.0,0.13,732
,1,Carpet Area,500,Resale,Ready to Move,3.0,4.0,Semi-Furnished,,2800.0,0.21,550
althan,2,Carpet Area,710,Resale,Ready to Move,13.0,13.0,Furnished,East,5207.0,0.63,781
punagam,2,Carpet Area,1150,Resale,Ready to Move,6.0,10.0,Unfurnished,North - West,,0.29,1265
,2,Carpet Area,680,Resale,Ready to Move,4.0,4.0,Semi-Furnished,North,2671.0,0.23,748
sarthana/varachha,2,Carpet Area,1024,Resale,Ready to Move,5.0,5.0,Semi-Furnished,East,2344.0,0.24,1126
dumas road/hazira,2,Super Area,1400,Resale,Under Construction,2.0,13.0,Unfurnished,East,4500.0,0.63,1400
dindoli,3,Carpet Area,1100,Resale,Ready to Move,2.0,5.0,Unfurnished,West,2977.0,0.38,1210
althan,2,Super Area,1000,Resale,Ready to Move,3.0,4.0,Semi-Furnished,,3500.0,0.35,1000
adajan,2,Super Area,1035,Resale,Ready to Move,5.0,6.0,Semi-Furnished,,2802.0,0.29,1035
palanpur,2,Super Area,1218,Resale,Ready to Move,5.0,5.0,Semi-Furnished,East,2956.0,0.36,1218
,2,Carpet Area,500,New Property,Ready to Move,5.0,5.0,Unfurnished,North,2373.0,0.18,550
,2,Super Area,910,Resale,Ready to Move,4.0,4.0,Unfurnished,,2473.0,0.23,910
jahangirpura,3,Carpet Area,950,Resale,Ready to Move,10.0,13.0,Furnished,East,2069.0,0.3,1045
katargam,2,Super Area,960,Resale,Ready to Move,4.0,5.0,Furnished,,3385.0,0.33,960
,1,Super Area,570,Resale,Ready to Move,4.0,5.0,Semi-Furnished,,3509.0,0.2,570
katargam,1,Super Area,500,Resale,Ready to Move,2.0,4.0,Unfurnished,,3400.0,0.17,500
athwalines,1,Carpet Area,615,Resale,Ready to Move,3.0,10.0,Furnished,,,0.2,676
udhna,2,Super Area,900,Resale,Ready to Move,4.0,5.0,Semi-Furnished,,2556.0,0.23,900
althan,2,Carpet Area,1205,Resale,Ready to Move,13.0,13.0,Furnished,,,0.65,1326
palanpur,2,Carpet Area,750,New Property,Ready to Move,9.0,14.0,Unfurnished,,3800.0,0.47,825
,2,Super Area,1000,Resale,Ready to Move,3.0,4.0,Furnished,,4000.0,0.4,1000
adajan,3,Carpet Area,1150,Resale,Ready to Move,1.0,13.0,Unfurnished,,3175.0,0.5,1265
udhna,3,Super Area,1200,Resale,Ready to Move,3.0,4.0,Semi-Furnished,,2917.0,0.35,1200
dumas road/hazira,2,Super Area,960,Resale,Ready to Move,4.0,6.0,Semi-Furnished,,2344.0,0.23,960
adajan,2,Super Area,950,Resale,Undefined,5.0,5.0,Semi-Furnished,East,3158.0,0.3,950
adajan,3,Super Area,1141,Resale,Ready to Move,2.0,3.0,Unfurnished,East,3418.0,0.39,1141
athwalines,2,Super Area,1275,Resale,Ready to Move,7.0,11.0,Furnished,,4549.0,0.58,1275
adajan,1,Super Area,650,Resale,Ready to Move,2.0,4.0,Unfurnished,,3231.0,0.21,650
athwalines,1,Super Area,700,Resale,Ready to Move,3.0,10.0,Unfurnished,,3571.0,0.25,700
nanpura/gopipura/chauta/sagrampura,3,Super Area,1200,Resale,Ready to Move,4.0,8.0,Unfurnished,,5000.0,0.6,1200
punagam,1,Carpet Area,400,Resale,Ready to Move,0.0,4.0,Semi-Furnished,,2750.0,0.11,440
dindoli,3,Super Area,1700,Resale,Ready to Move,2.0,3.0,Semi-Furnished,East,3265.0,0.56,1700
,2,Carpet Area,800,Resale,Ready to Move,8.0,12.0,Furnished,,3911.0,0.42,880
,2,Carpet Area,700,Resale,Ready to Move,4.0,5.0,Unfurnished,East,3684.0,0.35,770
