location,bhk,areaType,square_feet,transaction,status,floorNum,totalFloor,furnishing,facing,price_per_sqft,price,built_up_area,latitude,longitude
palanpur,1,Super Area,840,Resale,Ready to Move,4.0,4.0,Semi-Furnished,North - West,2381.0,0.2,840,21.2184934,72.7777979
palanpur,2,Carpet Area,900,New Property,Ready to Move,10.0,10.0,Unfurnished,North,5455.0,0.6,990,21.2184934,72.7777979
palanpur,2,Super Area,918,Resale,Ready to Move,2.0,5.0,Unfurnished,North - West,2288.0,0.21,918,21.2184934,72.7777979
palanpur,2,Super Area,1050,Resale,Ready to Move,5.0,6.0,Furnished,North - West,3333.0,0.35,1050,21.2184934,72.7777979
palanpur,2,Super Area,650,Resale,Ready to Move,4.0,4.0,Semi-Furnished,North - West,3538.0,0.23,650,21.2184934,72.7777979
palanpur,2,Super Area,1100,Resale,Ready to Move,7.0,13.0,Unfurnished,North - West,3636.0,0.4,1100,21.2184934,72.7777979
palanpur,2,Carpet Area,750,Resale,Ready to Move,4.0,4.0,Furnished,East,3182.0,0.35,825,21.2184934,72.7777979
palanpur,2,Super Area,1275,Resale,Ready to Move,1.0,5.0,Unfurnished,North - West,3529.0,0.45,1275,21.2184934,72.7777979
palanpur,2,Carpet Area,800,Resale,Ready to Move,2.0,4.0,Unfurnished,West,4000.0,0.4,880,21.2184934,72.7777979
palanpur,2,Super Area,1161,Resale,Ready to Move,1.0,1.0,Semi-Furnished,East,4005.0,0.47,1161,21.2184934,72.7777979
palanpur,2,Super Area,1040,Resale,Ready to Move,2.0,5.0,Unfurnished,North - West,3846.0,0.4,1040,21.2184934,72.7777979
palanpur,2,Super Area,950,Resale,Ready to Move,2.0,5.0,Semi-Furnished,North - West,3368.0,0.32,950,21.2184934,72.7777979
palanpur,3,Super Area,1600,Resale,Ready to Move,3.0,5.0,Unfurnished,North - West,3375.0,0.54,1600,21.2184934,72.7777979
palanpur,1,Carpet Area,675,Resale,Ready to Move,5.0,8.0,Semi-Furnished,North - West,3815.0,0.26,743,21.2184934,72.7777979
palanpur,2,Carpet Area,700,Resale,Ready to Move,4.0,4.0,Unfurnished,South -West,2778.0,0.3,770,21.2184934,72.7777979
palanpur,4,Carpet Area,1250,Resale,Ready to Move,9.0,10.0,Semi-Furnished,North - West,2922.0,0.45,1375,21.2184934,72.7777979
palanpur,1,Carpet Area,1000,Resale,Ready to Move,5.0,5.0,Semi-Furnished,East,2250.0,0.27,1100,21.2184934,72.7777979
palanpur,2,Carpet Area,1100,Resale,Ready to Move,11.0,12.0,Unfurnished,East,3205.0,0.4,1210,21.2184934,72.7777979
palanpur,3,Super Area,1300,Resale,Ready to Move,8.0,10.0,Semi-Furnished,East,4615.0,0.6,1300,21.2184934,72.7777979
palanpur,2,Carpet Area,1276,Resale,Ready to Move,10.0,13.0,Unfurnished,West,2978.0,0.38,1404,21.2184934,72.7777979
palanpur,2,Super Area,1400,Resale,Ready to Move,2.0,4.0,Furnished,North - West,3571.0,0.5,1400,21.2184934,72.7777979
palanpur,3,Super Area,1600,Resale,Ready to Move,1.0,1.0,Unfurnished,North - West,3375.0,0.54,1600,21.2184934,72.7777979
palanpur,2,Super Area,1100,Resale,Ready to Move,6.0,7.0,Furnished,East,3364.0,0.37,1100,21.2184934,72.7777979
palanpur,2,Carpet Area,800,Resale,Ready to Move,5.0,5.0,Unfurnished,North - West,2522.0,0.29,880,21.2184934,72.7777979
palanpur,2,Carpet Area,1250,Resale,Ready to Move,2.0,4.0,Furnished,North - West,2800.0,0.35,1375,21.2184934,72.7777979
palanpur,3,Carpet Area,927,Resale,Ready to Move,2.0,5.0,Furnished,West,3609.0,0.52,1020,21.2184934,72.7777979
palanpur,2,Super Area,1203,Resale,Ready to Move,6.0,12.0,Unfurnished,East,3832.0,0.46,1203,21.2184934,72.7777979
palanpur,2,Super Area,1190,Resale,Ready to Move,3.0,4.0,Unfurnished,North - West,2353.0,0.28,1190,21.2184934,72.7777979
palanpur,2,Super Area,1170,Resale,Ready to Move,4.0,6.0,Semi-Furnished,North - West,3675.0,0.43,1170,21.2184934,72.7777979
palanpur,2,Super Area,1261,Resale,Ready to Move,6.0,10.0,Furnished,North - West,4044.0,0.51,1261,21.2184934,72.7777979
palanpur,1,Super Area,540,Resale,Ready to Move,8.0,8.0,Furnished,North - West,2872.0,0.15,540,21.2184934,72.7777979
palanpur,3,Super Area,1600,Resale,Ready to Move,3.0,3.0,Furnished,North,2812.0,0.45,1600,21.2184934,72.7777979
