location,bhk,areaType,square_feet,transaction,status,floorNum,totalFloor,furnishing,facing,price_per_sqft,price
NA,1.0,Carpet Area,731,Resale,Ready to Move,2.0,5.0,Unfurnished,East,2736.0,0.2
pal,3.0,Carpet Area,1600,Resale,Ready to Move,2.0,13.0,Semi-Furnished,,,0.56
pal,3.0,Carpet Area,1400,Resale,Ready to Move,6.0,13.0,Semi-Furnished,East,3735.0,0.62
amroli,2.0,Carpet Area,950,Resale,Ready to Move,5.0,5.0,Unfurnished,West,2829.0,0.29
palanpur,1.0,Super Area,650,Resale,Ready to Move,4.0,5.0,Unfurnished,East,4462.0,0.29
palanpur,2.0,Carpet Area,700,New Property,Ready to Move,,,Unfurnished,East,4300.0,0.52
palanpur,2.0,Super Area,1250,New Property,Ready to Move,7.0,14.0,Unfurnished,South -West,3325.0,0.42
althan,2.0,Super Area,1168,New Property,Ready to Move,5.0,12.0,Unfurnished,East,3682.0,0.43
althan,2.0,Super Area,1252,Resale,Ready to Move,5.0,15.0,Unfurnished,South - East,3514.0,0.44
adajan,2.0,Super Area,1155,Resale,Ready to Move,7.0,13.0,Unfurnished,North - East,3290.0,0.38
pal,2.0,Super Area,1300,Resale,Ready to Move,5.0,13.0,Furnished,East,3846.0,0.5
althan,2.0,Super Area,1278,New Property,Under Construction,6.0,14.0,Unfurnished,South -West,3551.0,0.45
amroli,2.0,Super Area,1240,New Property,Ready to Move,9.0,14.0,Unfurnished,South - East,3629.0,0.45
palanpur,2.0,Super Area,1311,New Property,Under Construction,9.0,13.0,Unfurnished,South -West,4251.0,0.56
athwalines,3.0,Super Area,1800,Resale,Ready to Move,8.0,12.0,Unfurnished,East,3333.0,0.6
palanpur,2.0,Carpet Area,665,Resale,Under Construction,4.0,13.0,Unfurnished,South -West,4257.0,0.52
jahangirpura,2.0,Carpet Area,800,Resale,Ready to Move,4.0,5.0,Unfurnished,East,3333.0,0.4
pal,2.0,Super Area,1322,New Property,Under Construction,7.0,13.0,Unfurnished,East,4160.0,0.55
althan,2.0,Carpet Area,850,Resale,Ready to Move,4.0,7.0,Furnished,South - East,,0.45
udhna,3.0,Super Area,1500,Resale,Ready to Move,,,,,3667.0,0.55
palanpur,3.0,Super Area,1515,Resale,Ready to Move,3.0,5.0,Semi-Furnished,,3960.0,0.6
jahangirpura,2.0,Carpet Area,800,New Property,Under Construction,5.0,13.0,Unfurnished,,2868.0,0.38
althan,2.0,Super Area,1173,Resale,Ready to Move,8.0,19.0,Unfurnished,,4774.0,0.56
palanpur,2.0,Carpet Area,660,Resale,Ready to Move,4.0,5.0,Furnished,East,3932.0,0.46
palanpur,2.0,Super Area,1326,Resale,Ready to Move,9.0,14.0,Unfurnished,East,3771.0,0.5
jahangirpura,3.0,Super Area,1680,New Property,Ready to Move,6.0,13.0,Unfurnished,East,3512.0,0.59
jahangirpura,2.0,Super Area,1170,Resale,Ready to Move,6.0,13.0,Unfurnished,East,3350.0,0.39
dindoli,2.0,Super Area,1120,New Property,Under Construction,,,Unfurnished,,2600.0,0.29
pal,3.0,Super Area,1630,Resale,Ready to Move,2.0,12.0,Unfurnished,South -West,3129.0,0.51
palanpur,2.0,Super Area,1311,New Property,Under Construction,7.0,13.0,Unfurnished,East,4251.0,0.56
jahangirpura,3.0,Carpet Area,80,Resale,Ready to Move,2.0,12.0,Unfurnished,East,,0.36
dumas road/hazira,3.0,Super Area,1050,Resale,Ready to Move,7.0,12.0,Furnished,East,5238.0,0.55
pal,2.0,Super Area,1205,Resale,Ready to Move,4.0,5.0,Semi-Furnished,East,3734.0,0.45
dindoli,2.0,Carpet Area,688,New Property,Under Construction,7.0,14.0,Unfurnished,East,3600.0,0.45
palanpur,2.0,Super Area,1251,Resale,Ready to Move,5.0,13.0,Semi-Furnished,South -West,4556.0,0.57
pal,2.0,Super Area,1307,New Property,Ready to Move,7.0,14.0,Unfurnished,South -West,4250.0,0.56
vesu,2.0,Carpet Area,701,New Property,Ready to Move,10.0,13.0,Unfurnished,East,4627.0,0.59
athwalines,2.0,Super Area,1354,Resale,Ready to Move,5.0,12.0,Furnished,East,3988.0,0.54
pal,2.0,Carpet Area,780,Resale,Ready to Move,6.0,10.0,Furnished,East,3837.0,0.48
jahangirpura,2.0,Carpet Area,1200,Resale,Ready to Move,2.0,14.0,Unfurnished,East,,0.35
althan,2.0,Super Area,1305,New Property,Under Construction,4.0,13.0,Unfurnished,East,3851.0,0.5
palanpur,2.0,Super Area,1311,New Property,Under Construction,5.0,12.0,Unfurnished,South -West,4250.0,0.56
jahangirpura,2.0,Super Area,1228,Resale,Ready to Move,2.0,5.0,Semi-Furnished,East,2850.0,0.35
althan,1.0,Super Area,1190,Resale,Ready to Move,11.0,11.0,Furnished,East,3613.0,0.43
palanpur,2.0,Carpet Area,707,Resale,Ready to Move,7.0,13.0,Unfurnished,East,3624.0,0.44
jahangirpura,2.0,Carpet Area,600,Resale,Ready to Move,7.0,12.0,Unfurnished,North - West,3165.0,0.32
adajan,2.0,Super Area,1110,Resale,Ready to Move,3.0,5.0,Semi-Furnished,South -West,3784.0,0.42
adajan,2.0,Super Area,970,Resale,Ready to Move,6.0,10.0,Semi-Furnished,East,3093.0,0.3
vesu,2.0,Carpet Area,750,Resale,Ready to Move,5.0,10.0,Unfurnished,North - East,4688.0,0.6
dindoli,3.0,Super Area,1900,New Property,Under Construction,7.0,14.0,Unfurnished,East,2800.0,0.53
amroli,1.0,Super Area,660,Resale,Ready to Move,5.0,5.0,Unfurnished,,3030.0,0.2
kamrej,2.0,Carpet Area,950,Resale,Ready to Move,2.0,5.0,Furnished,,2422.0,0.31
palanpur,2.0,Super Area,1225,New Property,Under Construction,6.0,13.0,Unfurnished,South -West,4204.0,0.52
jahangirpura,2.0,Carpet Area,675,Resale,Ready to Move,6.0,14.0,Unfurnished,East,3759.0,0.38
athwalines,2.0,Carpet Area,850,Resale,Ready to Move,6.0,12.0,Semi-Furnished,East,4385.0,0.57
adajan,3.0,Super Area,1375,Resale,Ready to Move,,,,,4364.0,0.6
palanpur,2.0,Carpet Area,1265,Resale,Ready to Move,13.0,13.0,Unfurnished,East,3162.0,0.4
udhna,2.0,Carpet Area,750,Resale,Ready to Move,1.0,4.0,Semi-Furnished,North - East,2722.0,0.24
katargam,1.0,Super Area,550,Resale,Ready to Move,5.0,5.0,Unfurnished,East,3636.0,0.2
adajan,2.0,Super Area,847,Resale,Ready to Move,1.0,13.0,Furnished,East,5903.0,0.5
adajan,2.0,Super Area,1100,Resale,Ready to Move,4.0,5.0,Furnished,East,3273.0,0.36
nanpura/gopipura/chauta/sagrampura,2.0,Super Area,820,Resale,Ready to Move,8.0,9.0,Furnished,,2317.0,0.19
kamrej,1.0,Carpet Area,750,Resale,Ready to Move,1.0,5.0,Semi-Furnished,,3125.0,0.25
althan,4.0,Super Area,1370,Resale,Ready to Move,3.0,4.0,Unfurnished,,3212.0,0.44
adajan,3.0,Super Area,1725,Resale,Ready to Move,,,,,3478.0,0.6
adajan,2.0,Super Area,1200,Resale,Ready to Move,3.0,5.0,Unfurnished,East,2917.0,0.35
sarthana/varachha,2.0,Super Area,1267,Resale,Ready to Move,2.0,4.0,Furnished,North - West,3946.0,0.5
jahangirpura,3.0,Super Area,1600,Resale,Ready to Move,9.0,13.0,Unfurnished,,1875.0,0.3
palanpur,1.0,Carpet Area,441,Resale,Ready to Move,3.0,5.0,Unfurnished,South,3509.0,0.23
dumas road/hazira,2.0,Carpet Area,945,Resale,Ready to Move,7.0,10.0,Semi-Furnished,,4296.0,0.58
NA,3.0,Carpet Area,1327,Resale,Ready to Move,4.0,9.0,Furnished,,2881.0,0.42
sarthana/varachha,3.0,Carpet Area,1150,Resale,Ready to Move,4.0,5.0,Furnished,East,3500.0,0.49
NA,2.0,Super Area,850,Resale,Ready to Move,3.0,4.0,Unfurnished,,2941.0,0.25
udhna,2.0,Super Area,729,Resale,Ready to Move,2.0,3.0,Semi-Furnished,,2332.0,0.17
althan,2.0,Super Area,1300,Resale,Ready to Move,9.0,13.0,Semi-Furnished,,4000.0,0.52
NA,2.0,Super Area,1041,Resale,Ready to Move,2.0,5.0,Unfurnished,,3650.0,0.38
NA,4.0,Carpet Area,1300,Resale,Ready to Move,0.0,2.0,Furnished,,,0.45
vesu,2.0,Carpet Area,715,Resale,Ready to Move,8.0,10.0,Furnished,,3629.0,0.43
dindoli,2.0,Carpet Area,1050,Resale,Ready to Move,2.0,12.0,Furnished,East,3477.0,0.36
palanpur,2.0,Super Area,1264,Resale,Ready to Move,13.0,14.0,Unfurnished,East,4351.0,0.55
althan,2.0,Carpet Area,1144,Resale,Ready to Move,5.0,5.0,Semi-Furnished,West,,0.52
punagam,2.0,Super Area,1155,Resale,Ready to Move,6.0,13.0,Unfurnished,West,3500.0,0.4
palanpur,2.0,Super Area,1150,Resale,Ready to Move,5.0,5.0,Semi-Furnished,,2783.0,0.32
adajan,1.0,Carpet Area,625,Resale,Ready to Move,2.0,4.0,Semi-Furnished,,3213.0,0.27
NA,2.0,Carpet Area,1000,Resale,Ready to Move,3.0,5.0,Furnished,,3077.0,0.4
sarthana/varachha,2.0,Super Area,1193,Resale,Ready to Move,4.0,10.0,Semi-Furnished,East,3437.0,0.41
palanpur,2.0,Super Area,1035,Resale,Ready to Move,2.0,5.0,Furnished,,4251.0,0.44
dumas road/hazira,1.0,Super Area,785,Resale,Ready to Move,2.0,4.0,Semi-Furnished,,4076.0,0.32
udhna,1.0,Super Area,550,Resale,Ready to Move,4.0,4.0,Semi-Furnished,North - East,2318.0,0.13
amroli,2.0,Carpet Area,575,Resale,Ready to Move,1.0,5.0,Semi-Furnished,,2789.0,0.27
NA,2.0,Carpet Area,1230,Resale,Ready to Move,9.0,13.0,Semi-Furnished,East,,0.3
kamrej,2.0,Carpet Area,783,Resale,Ready to Move,5.0,5.0,Unfurnished,North - East,,0.5
pal,1.0,Super Area,750,Resale,Ready to Move,3.0,5.0,Unfurnished,East,3733.0,0.28
palanpur,2.0,Super Area,1100,Resale,Ready to Move,3.0,5.0,Unfurnished,East,3455.0,0.38
kamrej,2.0,Super Area,1156,Resale,Ready to Move,3.0,6.0,Unfurnished,,4325.0,0.5
katargam,1.0,Carpet Area,450,Resale,Ready to Move,5.0,5.0,Unfurnished,,,0.18
NA,2.0,Carpet Area,950,Resale,Ready to Move,2.0,4.0,Semi-Furnished,North - East,3043.0,0.35
udhna,3.0,Carpet Area,1515,Resale,Ready to Move,2.0,5.0,Semi-Furnished,,,0.45
NA,2.0,Carpet Area,750,Resale,Ready to Move,5.0,6.0,Semi-Furnished,East,3333.0,0.35
palanpur,2.0,Super Area,1250,Resale,Ready to Move,8.0,14.0,Furnished,East,4681.0,0.58
katargam,1.0,Carpet Area,605,Resale,Ready to Move,2.0,5.0,Unfurnished,East,2686.0,0.16
palanpur,2.0,Super Area,1320,Resale,Under Construction,20.0,21.0,Unfurnished,,4167.0,0.55
sarthana/varachha,2.0,Super Area,1300,Resale,Ready to Move,4.0,4.0,Furnished,,3462.0,0.45
NA,2.0,Super Area,1025,Resale,Ready to Move,5.0,6.0,Furnished,,4683.0,0.48
pal,2.0,Super Area,1280,Resale,Ready to Move,5.0,13.0,Semi-Furnished,East,3984.0,0.51
palanpur,2.0,Carpet Area,900,Resale,Ready to Move,10.0,13.0,Semi-Furnished,,3527.0,0.45
NA,1.0,Super Area,756,Resale,Ready to Move,5.0,5.0,Unfurnished,,1984.0,0.15
NA,1.0,Super Area,750,Resale,Ready to Move,4.0,4.0,Semi-Furnished,,800.0,0.06
dindoli,2.0,Super Area,1120,Resale,Ready to Move,3.0,7.0,Furnished,East,3260.0,0.36
sachin,2.0,Super Area,1075,Resale,Ready to Move,6.0,10.0,Semi-Furnished,East,2512.0,0.27
nanpura/gopipura/chauta/sagrampura,2.0,Carpet Area,750,New Property,Ready to Move,2.0,5.0,Semi-Furnished,East,2435.0,0.28
athwalines,2.0,Carpet Area,750,Resale,Ready to Move,7.0,10.0,Unfurnished,,4111.0,0.37
althan,1.0,Super Area,800,Resale,Ready to Move,1.0,4.0,Furnished,,3750.0,0.3
palanpur,2.0,Super Area,1256,Resale,Ready to Move,13.0,13.0,Furnished,East,3165.0,0.4
vesu,1.0,Carpet Area,500,,Ready to Move,4.0,8.0,Unfurnished,,,0.16
amroli,2.0,Carpet Area,580,Resale,Ready to Move,1.0,5.0,Furnished,East,2436.0,0.19
dindoli,2.0,Carpet Area,710,Resale,Ready to Move,5.0,5.0,Unfurnished,,2667.0,0.3
amroli,1.0,Super Area,775,Resale,Ready to Move,2.0,5.0,Semi-Furnished,,2129.0,0.17
jahangirpura,2.0,Carpet Area,721,Resale,Ready to Move,3.0,5.0,Semi-Furnished,East,2936.0,0.32
nanpura/gopipura/chauta/sagrampura,3.0,Super Area,1050,Resale,Ready to Move,3.0,10.0,Unfurnished,,2857.0,0.3
jahangirpura,2.0,Carpet Area,700,Resale,Ready to Move,4.0,5.0,Semi-Furnished,East,3182.0,0.35
althan,2.0,Super Area,1252,Resale,Ready to Move,11.0,14.0,Unfurnished,,3994.0,0.5
adajan,2.0,Super Area,1170,New Property,Ready to Move,4.0,4.0,Unfurnished,South -West,3248.0,0.38
dindoli,2.0,Carpet Area,1136,Resale,Ready to Move,1.0,1.0,Unfurnished,,2817.0,0.32
udhna,1.0,Super Area,650,Resale,Ready to Move,,,,,2154.0,0.14
athwalines,2.0,Carpet Area,1400,Resale,Ready to Move,4.0,5.0,Unfurnished,,,0.55
NA,2.0,Super Area,800,Resale,Ready to Move,1.0,4.0,Semi-Furnished,,2814.0,0.23
NA,3.0,Carpet Area,1200,Resale,Ready to Move,2.0,2.0,Semi-Furnished,,3333.0,0.5
udhna,3.0,Super Area,1550,Resale,Ready to Move,6.0,8.0,Furnished,,3548.0,0.55
punagam,2.0,Super Area,802,Resale,Ready to Move,2.0,5.0,Semi-Furnished,,3117.0,0.25
NA,2.0,Super Area,1165,Resale,Ready to Move,,,,,2704.0,0.32
athwalines,2.0,Super Area,1235,Resale,Ready to Move,1.0,12.0,Semi-Furnished,,3887.0,0.48
althan,2.0,Super Area,1000,Resale,Ready to Move,1.0,4.0,Semi-Furnished,,4500.0,0.45
dindoli,3.0,Carpet Area,1550,Resale,Ready to Move,12.0,14.0,Semi-Furnished,West,3517.0,0.55
vesu,2.0,Super Area,1320,Resale,Ready to Move,,,,,4167.0,0.55
NA,2.0,Super Area,1225,Resale,Ready to Move,1.0,5.0,Unfurnished,,2449.0,0.3
katargam,2.0,Carpet Area,925,Resale,Ready to Move,3.0,4.0,Semi-Furnished,South - East,2256.0,0.22
udhna,2.0,Super Area,1020,Resale,Ready to Move,3.0,4.0,Unfurnished,,3922.0,0.4
athwalines,1.0,Super Area,600,Resale,Ready to Move,4.0,5.0,Furnished,,4500.0,0.27
NA,1.0,Carpet Area,700,,Ready to Move,9.0,12.0,Unfurnished,,,0.54
jahangirpura,2.0,Super Area,1180,Resale,Ready to Move,5.0,5.0,Unfurnished,,2712.0,0.32
palanpur,2.0,Super Area,1150,Resale,Ready to Move,1.0,6.0,Furnished,,4783.0,0.55
pal,2.0,Carpet Area,1050,Resale,Ready to Move,1.0,4.0,Unfurnished,,,0.6
adajan,2.0,Super Area,960,Resale,Undefined,3.0,7.0,Semi-Furnished,,4167.0,0.4
NA,2.0,Super Area,862,Resale,Ready to Move,4.0,5.0,Semi-Furnished,,3191.0,0.28
katargam,2.0,Super Area,570,Resale,Ready to Move,4.0,4.0,Unfurnished,East,4423.0,0.25
amroli,3.0,Super Area,1260,Resale,Ready to Move,4.0,5.0,Furnished,,2619.0,0.33
palanpur,2.0,Super Area,1100,Resale,Ready to Move,4.0,5.0,Furnished,,3455.0,0.38
bardoli,1.0,Super Area,646,Resale,Ready to Move,1.0,5.0,Unfurnished,,1858.0,0.12
udhna,1.0,Super Area,550,Resale,Ready to Move,1.0,4.0,Semi-Furnished,,3091.0,0.17
NA,2.0,Super Area,1000,Resale,Ready to Move,1.0,5.0,Furnished,,4000.0,0.4
NA,2.0,Super Area,1025,Resale,Ready to Move,2.0,5.0,Semi-Furnished,,2537.0,0.26
athwalines,2.0,Carpet Area,925,Resale,Ready to Move,5.0,8.0,Unfurnished,,,0.41
vesu,2.0,Super Area,1250,Resale,Ready to Move,8.0,10.0,Semi-Furnished,,4240.0,0.53
NA,1.0,Super Area,475,Resale,Ready to Move,1.0,5.0,Semi-Furnished,,2632.0,0.12
udhna,1.0,Carpet Area,640,Resale,Ready to Move,2.0,5.0,Semi-Furnished,,,0.17
kamrej,2.0,Super Area,947,Resale,Ready to Move,4.0,5.0,Semi-Furnished,,2218.0,0.21
amroli,1.0,Carpet Area,500,Resale,Ready to Move,4.0,4.0,Unfurnished,North,,0.1
palanpur,2.0,Carpet Area,600,Resale,Ready to Move,8.0,12.0,Semi-Furnished,South - East,3611.0,0.42
athwalines,3.0,Carpet Area,1300,Resale,Ready to Move,4.0,10.0,Furnished,,3567.0,0.54
sarthana/varachha,2.0,Super Area,1251,Resale,Ready to Move,8.0,13.0,Unfurnished,,3437.0,0.43
NA,1.0,Carpet Area,750,Resale,Ready to Move,2.0,4.0,Unfurnished,,,0.2
jahangirpura,2.0,Carpet Area,915,Resale,Ready to Move,2.0,5.0,Furnished,,5355.0,0.49
adajan,2.0,Super Area,970,Resale,Ready to Move,3.0,4.0,Semi-Furnished,,3093.0,0.3
NA,1.0,Carpet Area,410,Resale,Ready to Move,3.0,4.0,Furnished,,2857.0,0.2
amroli,2.0,Super Area,1065,Resale,Ready to Move,2.0,6.0,Unfurnished,,2347.0,0.25
palanpur,2.0,Super Area,1200,Resale,Ready to Move,4.0,8.0,Unfurnished,North,3750.0,0.45
dindoli,2.0,Carpet Area,650,New Property,Ready to Move,8.0,14.0,Unfurnished,,3051.0,0.36
NA,1.0,Super Area,750,Resale,Ready to Move,0.0,3.0,Semi-Furnished,,2933.0,0.22
NA,2.0,Super Area,1250,Resale,Ready to Move,,,,,3200.0,0.4
palanpur,2.0,Super Area,950,Resale,Ready to Move,1.0,5.0,Semi-Furnished,,2947.0,0.28
palanpur,2.0,Super Area,1120,Resale,Ready to Move,5.0,13.0,Furnished,,4018.0,0.45
NA,1.0,Carpet Area,3,Resale,Ready to Move,2.0,7.0,Unfurnished,East,3429.0,0.12
NA,2.0,Super Area,648,Resale,Ready to Move,0.0,1.0,Unfurnished,,3086.0,0.2
sachin,2.0,Super Area,900,Resale,Ready to Move,3.0,5.0,Semi-Furnished,,1444.0,0.13
NA,2.0,Super Area,850,Resale,Ready to Move,4.0,5.0,Semi-Furnished,,2588.0,0.22
udhna,1.0,Super Area,850,Resale,Ready to Move,1.0,4.0,Unfurnished,,1000.0,0.09
dindoli,2.0,Carpet Area,650,Resale,Ready to Move,1.0,5.0,Semi-Furnished,,,0.25
NA,2.0,Carpet Area,1446,Resale,Ready to Move,4.0,4.0,Semi-Furnished,North - East,4006.0,0.4
vesu,2.0,Carpet Area,900,Resale,Ready to Move,5.0,13.0,Unfurnished,East,4331.0,0.55
adajan,3.0,Super Area,1450,Resale,Ready to Move,8.0,9.0,Furnished,,4138.0,0.6
athwalines,2.0,Carpet Area,1450,Resale,Ready to Move,6.0,11.0,Furnished,North - East,5000.0,0.65
dindoli,1.0,Super Area,801,Resale,Ready to Move,9.0,11.0,Unfurnished,,1998.0,0.16
adajan,1.0,Super Area,722,Resale,Ready to Move,7.0,7.0,Unfurnished,,2909.0,0.21
NA,2.0,Super Area,861,Resale,Ready to Move,4.0,4.0,Unfurnished,East,1220.0,0.1
NA,2.0,Carpet Area,734,Resale,Ready to Move,2.0,5.0,Furnished,East,2749.0,0.28
athwalines,2.0,Carpet Area,750,Resale,Ready to Move,7.0,10.0,Unfurnished,East,3889.0,0.35
udhna,2.0,Carpet Area,1200,Resale,Ready to Move,8.0,9.0,Unfurnished,,,0.3
NA,4.0,Carpet Area,1650,Resale,Ready to Move,8.0,9.0,Semi-Furnished,East,3102.0,0.38
adajan,2.0,Super Area,750,Resale,Ready to Move,2.0,7.0,Semi-Furnished,,3200.0,0.24
jahangirpura,2.0,Super Area,1100,Resale,Ready to Move,2.0,5.0,Semi-Furnished,,3545.0,0.39
NA,1.0,Carpet Area,440,Resale,Ready to Move,4.0,5.0,Semi-Furnished,,3420.0,0.25
NA,3.0,Carpet Area,1110,Resale,Ready to Move,7.0,8.0,Unfurnished,East,,0.55
adajan,2.0,Super Area,1021,Resale,Ready to Move,7.0,8.0,Unfurnished,,3918.0,0.4
palanpur,2.0,Super Area,1092,New Property,Under Construction,14.0,14.0,Unfurnished,,3200.0,0.35
adajan,2.0,Carpet Area,800,Resale,Ready to Move,1.0,4.0,Semi-Furnished,East,2500.0,0.25
dindoli,2.0,Carpet Area,980,Resale,Ready to Move,2.0,7.0,Unfurnished,,,0.28
NA,2.0,Carpet Area,945,Resale,Ready to Move,4.0,4.0,Unfurnished,South,2787.0,0.34
adajan,2.0,Super Area,1100,Resale,Ready to Move,,,,,4091.0,0.45
vesu,1.0,Carpet Area,550,Resale,Ready to Move,7.0,14.0,Furnished,,,0.25
jahangirpura,1.0,Super Area,485,Resale,Ready to Move,2.0,5.0,Unfurnished,,4124.0,0.2
katargam,1.0,Super Area,413,Resale,Ready to Move,2.0,5.0,Unfurnished,,4116.0,0.17
athwalines,2.0,Super Area,1200,Resale,Ready to Move,2.0,7.0,Unfurnished,East,3917.0,0.47
kadodara,1.0,Super Area,490,Resale,Ready to Move,4.0,4.0,Unfurnished,,1735.0,0.09
athwalines,2.0,Super Area,1100,Resale,Undefined,10.0,11.0,Unfurnished,,5455.0,0.6
pal,1.0,Carpet Area,480,Resale,Ready to Move,8.0,8.0,Semi-Furnished,North,2853.0,0.25
udhna,3.0,Super Area,1680,Resale,Ready to Move,8.0,8.0,Furnished,,3274.0,0.55
sachin,2.0,Super Area,732,Resale,Ready to Move,4.0,5.0,Unfurnished,,1776.0,0.13
NA,1.0,Carpet Area,500,Resale,Ready to Move,3.0,4.0,Semi-Furnished,,2800.0,0.21
althan,2.0,Carpet Area,710,Resale,Ready to Move,13.0,13.0,Furnished,East,5207.0,0.63
punagam,2.0,Carpet Area,1150,Resale,Ready to Move,6.0,10.0,Unfurnished,North - West,,0.29
NA,2.0,Carpet Area,680,Resale,Ready to Move,4.0,4.0,Semi-Furnished,North,2671.0,0.23
sarthana/varachha,2.0,Carpet Area,1024,Resale,Ready to Move,5.0,5.0,Semi-Furnished,East,2344.0,0.24
dumas road/hazira,2.0,Super Area,1400,Resale,Under Construction,2.0,13.0,Unfurnished,East,4500.0,0.63
dindoli,3.0,Carpet Area,1100,Resale,Ready to Move,2.0,5.0,Unfurnished,West,2977.0,0.38
althan,2.0,Super Area,1000,Resale,Ready to Move,3.0,4.0,Semi-Furnished,,3500.0,0.35
adajan,2.0,Super Area,1035,Resale,Ready to Move,5.0,6.0,Semi-Furnished,,2802.0,0.29
palanpur,2.0,Super Area,1218,Resale,Ready to Move,5.0,5.0,Semi-Furnished,East,2956.0,0.36
NA,2.0,Carpet Area,500,New Property,Ready to Move,5.0,5.0,Unfurnished,North,2373.0,0.18
NA,2.0,Super Area,910,Resale,Ready to Move,4.0,4.0,Unfurnished,,2473.0,0.23
jahangirpura,3.0,Carpet Area,950,Resale,Ready to Move,10.0,13.0,Furnished,East,2069.0,0.3
katargam,2.0,Super Area,960,Resale,Ready to Move,4.0,5.0,Furnished,,3385.0,0.33
NA,1.0,Super Area,570,Resale,Ready to Move,4.0,5.0,Semi-Furnished,,3509.0,0.2
katargam,1.0,Super Area,500,Resale,Ready to Move,2.0,4.0,Unfurnished,,3400.0,0.17
athwalines,1.0,Carpet Area,615,Resale,Ready to Move,3.0,10.0,Furnished,,,0.2
udhna,2.0,Super Area,900,Resale,Ready to Move,4.0,5.0,Semi-Furnished,,2556.0,0.23
althan,2.0,Carpet Area,1205,Resale,Ready to Move,13.0,13.0,Furnished,,,0.65
palanpur,2.0,Carpet Area,750,New Property,Ready to Move,9.0,14.0,Unfurnished,,3800.0,0.47
NA,2.0,Super Area,1000,Resale,Ready to Move,3.0,4.0,Furnished,,4000.0,0.4
adajan,3.0,Carpet Area,1150,Resale,Ready to Move,1.0,13.0,Unfurnished,,3175.0,0.5
udhna,3.0,Super Area,1200,Resale,Ready to Move,3.0,4.0,Semi-Furnished,,2917.0,0.35
dumas road/hazira,2.0,Super Area,960,Resale,Ready to Move,4.0,6.0,Semi-Furnished,,2344.0,0.23
adajan,2.0,Super Area,950,Resale,Undefined,5.0,5.0,Semi-Furnished,East,3158.0,0.3
adajan,3.0,Super Area,1141,Resale,Ready to Move,2.0,3.0,Unfurnished,East,3418.0,0.39
athwalines,2.0,Super Area,1275,Resale,Ready to Move,7.0,11.0,Furnished,,4549.0,0.58
adajan,1.0,Super Area,650,Resale,Ready to Move,2.0,4.0,Unfurnished,,3231.0,0.21
athwalines,1.0,Super Area,700,Resale,Ready to Move,3.0,10.0,Unfurnished,,3571.0,0.25
nanpura/gopipura/chauta/sagrampura,3.0,Super Area,1200,Resale,Ready to Move,4.0,8.0,Unfurnished,,5000.0,0.6
punagam,1.0,Carpet Area,400,Resale,Ready to Move,0.0,4.0,Semi-Furnished,,2750.0,0.11
dindoli,3.0,Super Area,1700,Resale,Ready to Move,2.0,3.0,Semi-Furnished,East,3265.0,0.56
NA,2.0,Carpet Area,800,Resale,Ready to Move,8.0,12.0,Furnished,,3911.0,0.42
NA,2.0,Carpet Area,700,Resale,Ready to Move,4.0,5.0,Unfurnished,East,3684.0,0.35
NA,2.0,Carpet Area,12,Resale,Ready to Move,0.0,2.0,Furnished,South,76389.0,0.28
